Transaction,Instrument,Qty,Entry,Entry Price,Entry Time,Exit,Exit Price,Exit Time,Profit,Cumulative Profit
67,NIFTY09APR209000PE,65,BUY,151.1,08 Apr 2020 10:45:14,SELL,158.65,08 Apr 2020 10:48:44,490.75,3204.5
67,NIFTY09APR209050PE,65,SELL,173.9,08 Apr 2020 10:45:14,BUY,192.55,08 Apr 2020 10:49:00,-1212.25,3204.5
68,NIFTY09APR208950PE,65,BUY,67.15,09 Apr 2020 10:45:14,SELL,70.5,09 Apr 2020 10:45:44,217.75,2606.5
68,NIFTY09APR209000PE,65,SELL,91.65,09 Apr 2020 10:45:14,BUY,104.2,09 Apr 2020 10:46:00,-815.75,2606.5
69,NIFTY16APR208950PE,65,BUY,195.6,13 Apr 2020 10:45:14,SELL,205.35,13 Apr 2020 11:01:44,633.75,2431
69,NIFTY16APR209000PE,65,SELL,217.4,13 Apr 2020 10:45:14,BUY,229.85,13 Apr 2020 11:02:00,-809.25,2431
70,NIFTY16APR209200PE,65,BUY,104.6,15 Apr 2020 10:45:14,SELL,109.8,15 Apr 2020 10:55:44,338,2541.5
70,NIFTY16APR209250PE,65,SELL,128,15 Apr 2020 10:45:14,BUY,131.5,15 Apr 2020 10:56:00,-227.5,2541.5
71,NIFTY16APR208900PE,65,BUY,61.5,16 Apr 2020 10:45:14,SELL,64.55,16 Apr 2020 10:45:44,198.25,2600
71,NIFTY16APR208950PE,65,SELL,88,16 Apr 2020 10:45:14,BUY,90.15,16 Apr 2020 10:46:00,-139.75,2600
72,NIFTY23APR209150PE,65,BUY,184.65,17 Apr 2020 10:45:14,SELL,193.85,17 Apr 2020 10:45:44,598,2349.75
72,NIFTY23APR209200PE,65,SELL,208.85,17 Apr 2020 10:45:14,BUY,221.9,17 Apr 2020 10:46:00,-848.25,2349.75
73,NIFTY23APR209250PE,65,BUY,145,20 Apr 2020 10:45:14,SELL,152.25,20 Apr 2020 11:15:44,471.25,2232.75
73,NIFTY23APR209300PE,65,SELL,166.8,20 Apr 2020 10:45:14,BUY,175.85,20 Apr 2020 11:16:00,-588.25,2232.75
74,NIFTY23APR208950PE,65,BUY,109.5,21 Apr 2020 10:45:14,SELL,102,21 Apr 2020 10:54:00,-487.5,2369.25
74,NIFTY23APR209000PE,65,SELL,131.45,21 Apr 2020 10:45:14,BUY,121.85,21 Apr 2020 10:54:00,624,2369.25
75,NIFTY23APR209000PE,65,BUY,89.1,22 Apr 2020 10:45:14,SELL,93.55,22 Apr 2020 10:46:44,289.25,2304.25
75,NIFTY23APR209050PE,65,SELL,112.1,22 Apr 2020 10:45:14,BUY,117.55,22 Apr 2020 10:47:00,-354.25,2304.25
76,NIFTY23APR209200PE,65,BUY,15.95,23 Apr 2020 10:45:14,SELL,12.4,23 Apr 2020 10:46:29,-230.75,2463.5
76,NIFTY23APR209250PE,65,SELL,31.3,23 Apr 2020 10:45:14,BUY,25.3,23 Apr 2020 10:46:29,390,2463.5
77,NIFTY30APR209100PE,65,BUY,147.05,24 Apr 2020 10:45:14,SELL,137.9,24 Apr 2020 10:50:29,-594.75,2609.75
77,NIFTY30APR209150PE,65,SELL,170.4,24 Apr 2020 10:45:14,BUY,159,24 Apr 2020 10:50:29,741,2609.75
78,NIFTY30APR209300PE,65,BUY,101.8,27 Apr 2020 10:45:14,SELL,106.85,27 Apr 2020 10:47:44,328.25,2502.5
78,NIFTY30APR209350PE,65,SELL,121.25,27 Apr 2020 10:45:14,BUY,127.95,27 Apr 2020 10:48:00,-435.5,2502.5
79,NIFTY30APR209250PE,65,BUY,89.65,28 Apr 2020 10:45:14,SELL,80,28 Apr 2020 11:00:00,-627.25,2632.5
79,NIFTY30APR209300PE,65,SELL,112.5,28 Apr 2020 10:45:14,BUY,100.85,28 Apr 2020 11:00:00,757.25,2632.5
80,NIFTY30APR209400PE,65,BUY,46.3,29 Apr 2020 10:45:14,SELL,38.7,29 Apr 2020 11:15:29,-494,2765.75
80,NIFTY30APR209450PE,65,SELL,66.45,29 Apr 2020 10:45:14,BUY,56.8,29 Apr 2020 11:15:29,627.25,2765.75
81,NIFTY30APR209750PE,65,BUY,17.8,30 Apr 2020 10:45:14,SELL,18.65,30 Apr 2020 10:59:44,55.25,2830.75
81,NIFTY30APR209800PE,65,SELL,36.3,30 Apr 2020 10:45:14,BUY,36.15,30 Apr 2020 11:00:00,9.75,2830.75
82,NIFTY07MAY209350PE,65,BUY,167.45,04 May 2020 10:45:14,SELL,175.8,04 May 2020 10:59:44,542.75,2736.5
82,NIFTY07MAY209400PE,65,SELL,189.5,04 May 2020 10:45:14,BUY,199.3,04 May 2020 11:00:00,-637,2736.5
83,NIFTY07MAY209300PE,65,BUY,112.1,05 May 2020 10:45:14,SELL,117.7,05 May 2020 11:20:44,364,2723.5
83,NIFTY07MAY209350PE,65,SELL,133.95,05 May 2020 10:45:14,BUY,139.75,05 May 2020 11:21:00,-377,2723.5
